X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,icon_url
123.7870745,8.0427601,Panguil Bay Bridge Project - Tubod Point,,,,,,-1,0,-1,,,
123.7537435,8.0903508,Point 1,,,,,,-1,0,-1,,,
